Cena,Cena_za_metr,Id,Rynek,Strefa,Powierzchnia,Liczba pokoi,Liczba pięter,Piętro,URL
998500.0,12177.0,60533545,wtorny,Śródmieście,82.0,3,4,,https://www.otodom.pl/oferta/apartament-z-ogrodkiem-3-pokoje-biskupin-ID45Zxw.html#1f999542e1
340000.0,8000.0,60476286,wtorny,Fabryczna,42.5,2,4,2.0,https://www.otodom.pl/oferta/42m-na-stablowicach-ID45KDY.html#1f999542e1
314585.0,9974.0,60528461,pierwotny,Fabryczna,31.54,1,3,2.0,https://www.otodom.pl/oferta/kawalerka-wykonczona-pod-klucz-z-agd-gotowa-ID45Ydw.html#1f999542e1
435289.0,9550.0,60529565,pierwotny,Śródmieście,45.58,2,6,1.0,https://www.otodom.pl/oferta/sloneczne-2-pokoje-spacerem-na-rynek-ID45Ywj.html#1f999542e1
314900.0,6175.0,60533525,pierwotny,Fabryczna,51.0,3,4,,https://www.otodom.pl/oferta/wegliniecka-deweloperskie-2019-ogrod-54-m2-garaz-ID45Zxb.html#1f999542e1
492942.0,8499.0,60533616,wtorny,Śródmieście,58.0,4,3,3.0,https://www.otodom.pl/oferta/4-pokoje-pod-inwestycje-kilinskiego-gotowiec-ID45ZyE.html#1f999542e1
375147.0,6784.0,60533449,pierwotny,Psie Pole,55.3,3,4,2.0,https://www.otodom.pl/oferta/wysoki-standard-rodzinnego-mieszkania-na-zakrzowie-ID45ZwX.html#1f999542e1
429000.0,7461.0,60533448,wtorny,Stare Miasto,57.5,3,4,,https://www.otodom.pl/oferta/rozkladowe-miejskie-media-duzy-balkon-ID45ZwV.html#1f999542e1
244000.0,9152.0,60513603,pierwotny,Krzyki,26.66,1,,,https://www.otodom.pl/oferta/okazja-kawalerka-gotowa-za-5-miesiecy-z-ogrodkie-ID45UlR.html#1f999542e1
428000.0,8044.0,60505101,pierwotny,Krzyki,53.21,3,,,https://www.otodom.pl/oferta/nad-rzeka-poprz-cena-441-000zl-gotowe-w-2020-ID45S8J.html#1f999542e1
599205.0,7690.0,60533451,pierwotny,Fabryczna,77.92,4,3,,https://www.otodom.pl/oferta/400-metrow-ogrodu-nowoczesna-inwestycja-ID45ZwZ.html#1f999542e1
360798.0,9725.0,60533450,pierwotny,Psie Pole,37.1,2,3,3.0,https://www.otodom.pl/oferta/mieszkanie-nad-odra-w-prestizowej-inwestycji-ID45ZwY.html#1f999542e1
420140.0,7646.0,60533452,pierwotny,Psie Pole,54.95,3,6,,https://www.otodom.pl/oferta/hit-mieszkanie-z-duzym-tarasem-przy-kamienskiego-ID45Zv0.html#1f999542e1
684255.0,9075.0,60533447,pierwotny,Śródmieście,75.4,4,5,2.0,https://www.otodom.pl/oferta/nowosc-apartament-dla-wymagajacej-rodziny-ID45ZwW.html#1f999542e1
412692.0,6596.0,60529014,pierwotny,Fabryczna,62.57,3,4,4.0,https://www.otodom.pl/oferta/gotowe-3-pokoje-z-duzym-balkonem-rabat-18-415-ID45Ymq.html#1f999542e1
452971.0,9650.0,60529605,pierwotny,Śródmieście,46.94,2,6,3.0,https://www.otodom.pl/oferta/2-pokoje-o-komfortowym-metrazu-blisko-odry-ID45YwX.html#1f999542e1
419577.0,6939.0,60533378,pierwotny,Krzyki,60.47,3,4,3.0,https://www.otodom.pl/oferta/jagodno-gotowe-okazja-rabaty-nowe-ID45ZuO.html#1f999542e1
328041.0,9225.0,60528719,pierwotny,Fabryczna,35.56,2,3,3.0,https://www.otodom.pl/oferta/2-pokoje-z-widokiem-na-park-wykonczone-z-agd-ID45YhF.html#1f999542e1
358796.0,7600.0,60434458,pierwotny,Krzyki,47.21,2,4,4.0,https://www.otodom.pl/oferta/2-pokoje-z-kuchnia-w-gotowej-inwestycji-krzyki-ID45zLk.html#1f999542e1
493124.0,10371.0,60533445,pierwotny,Śródmieście,47.55,2,7,5.0,https://www.otodom.pl/oferta/wyjatkowy-apartament-w-pelnym-rozkladzie-ID45ZwT.html#1f999542e1
394408.0,9393.0,60529507,pierwotny,Krzyki,41.99,2,3,3.0,https://www.otodom.pl/oferta/2-pokoje-przy-parku-system-smart-tramwaje-ID45Yun.html#1f999542e1
1184155.0,11497.0,60533201,pierwotny,Śródmieście,103.0,4,3,2.0,https://www.otodom.pl/oferta/gotowe-2-pietrowe-taras-balkon-nad-rzeka-srodmiesc-ID45ZrX.html#1f999542e1
282000.0,7758.0,60391468,pierwotny,dolnośląskie,36.35,2,4,1.0,https://www.otodom.pl/oferta/2-pokoje-z-miejscem-postojowym-krzyki-4q2020-ID45ozV.html#1f999542e1
421935.0,6900.0,60394367,pierwotny,Fabryczna,61.15,3,3,1.0,https://www.otodom.pl/oferta/gotowe-dwustronne-3-pokojowe-na-oporowie-ID45pkH.html#1f999542e1
504874.0,9402.0,60533444,pierwotny,Śródmieście,53.7,3,7,1.0,https://www.otodom.pl/oferta/klimatyczna-inwestycja-przy-odrze-ID45ZwS.html#1f999542e1
328041.0,9225.0,60525130,pierwotny,Fabryczna,35.56,1,3,3.0,https://www.otodom.pl/oferta/apartament-inwestycyjny-wykonczony-plus-agd-ID45XlM.html#1f999542e1
393455.0,9785.0,60529334,pierwotny,Śródmieście,40.21,2,6,3.0,https://www.otodom.pl/oferta/2-pokoje-z-ustawnym-balkonem-na-srodmiesciu-ID45YrA.html#1f999542e1
674389.0,12262.0,60533223,pierwotny,Stare Miasto,55.0,3,8,7.0,https://www.otodom.pl/oferta/apartament-scisle-centrum-piekny-widok-z-tarasu-ID45Zsj.html#1f999542e1
340315.0,6790.0,60527931,pierwotny,Fabryczna,50.12,3,3,2.0,https://www.otodom.pl/oferta/3-pokoje-z-systemem-smart-ustawny-balkon-6-76m2-ID45Y4X.html#1f999542e1
1088255.0,10850.0,60528290,pierwotny,Psie Pole,100.3,5,5,2.0,https://www.otodom.pl/oferta/apartament-z-tarasem-20m2-widok-na-port-i-odre-ID45YaK.html#1f999542e1
385000.0,5932.0,60246910,wtorny,Fabryczna,64.9,3,8,5.0,https://www.otodom.pl/oferta/duze-mieszkanie-wroclaw-ul-celtycka-ID44MYm.html#1f999542e1
417897.0,7852.0,60532979,pierwotny,Krzyki,53.22,3,3,3.0,https://www.otodom.pl/oferta/ostatnie-dni-rabatu-garaz-w-cenie-tramwaj-ID45Zon.html#1f999542e1
1047025.0,15500.0,60529922,pierwotny,Śródmieście,67.55,3,10,1.0,https://www.otodom.pl/oferta/scisle-centrum-nad-odra-taras-39-m2-ID45YB4.html#1f999542e1
461999.0,7000.0,60533007,wtorny,Fabryczna,66.0,3,10,4.0,https://www.otodom.pl/oferta/3-pokojowe-mieszkanie-66-m2-fat-inzynierska-ID45ZoP.html#1f999542e1
630030.5,10450.0,60533213,pierwotny,Śródmieście,60.29,3,3,,https://www.otodom.pl/oferta/gotowe-3-pokoje-taras-srodmiescie-zielona-okolic-ID45Zs9.html#1f999542e1
409340.0,10550.0,60533446,pierwotny,Śródmieście,38.8,2,5,1.0,https://www.otodom.pl/oferta/top-lokalizacja-inwestycyjne-lub-na-start-ID45ZwU.html#1f999542e1
1575900.0,11088.0,60525086,pierwotny,Śródmieście,142.13,4,5,5.0,https://www.otodom.pl/oferta/centrum-apartament-z-tarasem-i-widokiem-na-odre-ID45Xl4.html#1f999542e1
520212.0,7700.0,60533166,pierwotny,Fabryczna,67.56,3,4,1.0,https://www.otodom.pl/oferta/3-pokoje-balkon-18-81mkw-nowe-zerniki-ID45Zro.html#1f999542e1
399000.0,8111.0,60475553,wtorny,Psie Pole,49.19,2,4,1.0,https://www.otodom.pl/oferta/kamienskiego-49m2-wroclaw-ID45Ks9.html#1f999542e1
336000.0,8239.0,60532932,pierwotny,Fabryczna,40.78,2,2,,https://www.otodom.pl/oferta/2-pokoje-z-tarasem-i-ogrodkiemgotowefabryczna-ID45ZnC.html#1f999542e1
452949.0,8447.0,60532977,pierwotny,Krzyki,53.62,3,3,3.0,https://www.otodom.pl/oferta/nowe-przy-rzece-balkon-duzy-rabat-tramwaj-ID45Zol.html#1f999542e1
429000.0,7944.0,60533072,wtorny,Krzyki,54.0,2,,,https://www.otodom.pl/oferta/mieszkanie-2-pokojowe-krzyki-sowia-ID45ZpS.html#1f999542e1
568000.0,7329.0,60466963,wtorny,Śródmieście,77.5,3,4,3.0,https://www.otodom.pl/oferta/rozkladowe-3-pokoje-balkon-piwnica-pl-grunwaldzki-ID45IdB.html#1f999542e1
630000.0,8289.0,60426640,wtorny,Śródmieście,76.0,4,2,2.0,https://www.otodom.pl/oferta/wroclaw-sepolno-ID45xJe.html#1f999542e1
572700.0,6900.0,59245832,wtorny,Śródmieście,83.0,3,3,1.0,https://www.otodom.pl/oferta/m-4-83m2-kamienica-srodmiescie-ul-daszynskiego-ID40AxV.html#1f999542e1
649000.0,7750.0,60532781,pierwotny,Krzyki,83.74,4,4,,https://www.otodom.pl/oferta/najpopularniejsza-inwestycja-ostatnie-ID45Zlb.html#1f999542e1
249999.0,8615.0,60532882,pierwotny,Krzyki,29.02,1,4,,https://www.otodom.pl/oferta/krzyki-gotowa-kawalerka-z-ogrodkiem-okazja-ID45ZmO.html#1f999542e1
368995.0,7031.0,60532891,wtorny,Fabryczna,52.48,2,3,2.0,https://www.otodom.pl/oferta/dwupokojwe-calkowicie-rozkladowe-mieszkanie-ID45ZmX.html#1f999542e1
425935.0,7540.0,60532784,pierwotny,Fabryczna,56.49,3,2,,https://www.otodom.pl/oferta/3-pokoje-taras-ID45Zle.html#1f999542e1
379000.0,7402.0,60532814,wtorny,Fabryczna,51.2,2,4,4.0,https://www.otodom.pl/oferta/mieszkanie-wroclaw-kuzniki-ID45ZlI.html#1f999542e1
324405.0,8100.0,60532786,pierwotny,Fabryczna,40.05,2,2,2.0,https://www.otodom.pl/oferta/prestizowe-2-pokoje-w-niskim-budownictwie-ID45Zlg.html#1f999542e1
395000.0,12068.0,60028748,wtorny,Fabryczna,32.73,2,5,,https://www.otodom.pl/oferta/nowe-2-pokoje-wyposazone-kuzniki-hermanowska-95-97-ID43SdC.html#b1782006a1
431323.0,8575.0,60532773,pierwotny,Psie Pole,50.3,2,5,3.0,https://www.otodom.pl/oferta/idealne-2-pokoje-nad-odra-nowe-z-balkonem-ID45Zl3.html#1f999542e1
672794.0,9204.0,60528367,pierwotny,Psie Pole,73.1,3,5,2.0,https://www.otodom.pl/oferta/piekny-widok-na-odre-i-zielen-taniej-o-54-551-zl-ID45YbZ.html#b1782006a1
474000.0,9595.0,60529264,pierwotny,Stare Miasto,49.4,3,,,https://www.otodom.pl/oferta/klucze-od-zaraz-stare-miasto-poludniowa-ekspozycj-ID45Yqs.html#b1782006a1
439000.0,7197.0,60017362,wtorny,Psie Pole,61.0,3,3,1.0,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-ID43PfY.html#b1782006a1
445600.0,7349.0,60436741,pierwotny,Psie Pole,60.63,3,2,1.0,https://www.otodom.pl/oferta/3-pokoje-60-63m2-urokliwa-okolica-ID45Am9.html#b1782006a1
349000.0,10576.0,60532190,wtorny,Krzyki,33.0,2,4,3.0,https://www.otodom.pl/oferta/inwestycja-jesionowa-2-pok-33-m2-duzy-balkon-ID45ZbE.html#b1782006a1
380000.0,7917.0,60334793,wtorny,Fabryczna,48.0,4,11,7.0,https://www.otodom.pl/oferta/rentowny-gotowiec-inwestycyjny-roi10-5-wroclaw-ID459PP.html#b1782006a1
289000.0,10223.0,60532189,wtorny,Krzyki,28.27,1,4,2.0,https://www.otodom.pl/oferta/inwestycja-kawalerka-gaj-balkon-rozklad-ID45ZbD.html#b1782006a1
613877.0,5612.0,60532212,pierwotny,Krzyki,109.38,5,,1.0,https://www.otodom.pl/oferta/dwupoziomowe-gotowe-mieszkanie-w-szeregu-nowe-ID45Zc0.html#b1782006a1
479000.0,8990.0,60532658,wtorny,Krzyki,53.28,3,5,,https://www.otodom.pl/oferta/3-pokoje-ferio-gaj-kupujacy-0-ID45Zjc.html#b1782006a1
427256.0,7682.0,60525358,pierwotny,Fabryczna,55.62,2,3,,https://www.otodom.pl/oferta/ogrodek-az-101m2-system-smart-garderoba-ID45Xps.html#b1782006a1
