Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,Rynek,Strefa,URL
379000.0,7222.0,60532891,3,2,2.0,52.48,wtorny,Fabryczna,https://www.otodom.pl/oferta/dwupokojwe-calkowicie-rozkladowe-mieszkanie-ID45ZmX.html#ac18fbd7cc
572700.0,6900.0,59245832,3,3,1.0,83.0,wtorny,Śródmieście,https://www.otodom.pl/oferta/m-4-83m2-kamienica-srodmiescie-ul-daszynskiego-ID40AxV.html#ac18fbd7cc
249999.0,8615.0,60532882,4,1,,29.02,pierwotny,Krzyki,https://www.otodom.pl/oferta/krzyki-gotowa-kawalerka-z-ogrodkiem-okazja-ID45ZmO.html#ac18fbd7cc
389000.0,7481.0,60506626,8,3,3.0,52.0,wtorny,Fabryczna,https://www.otodom.pl/oferta/sprzedam-mieszkanie-muchobor-maly-3-pok-wroclaw-ID45Sxk.html#ac18fbd7cc
579000.0,7926.0,60185596,,3,,73.05,wtorny,Psie Pole,https://www.otodom.pl/oferta/mieszkanie-73m2-ogrodek-m-parking-szeregowiec-ID44x1q.html#ac18fbd7cc
479000.0,8990.0,60532658,5,3,,53.28,wtorny,Krzyki,https://www.otodom.pl/oferta/3-pokoje-ferio-gaj-kupujacy-0-ID45Zjc.html#dc1fb78b20
367500.0,9800.0,60532768,5,2,,37.5,pierwotny,Psie Pole,https://www.otodom.pl/oferta/sloneczne-2-pokojowe-mieszkanie-nad-odra-ID45ZkY.html#ac18fbd7cc
395000.0,12068.0,60028748,5,2,,32.73,wtorny,Fabryczna,https://www.otodom.pl/oferta/nowe-2-pokoje-wyposazone-kuzniki-hermanowska-95-97-ID43SdC.html#ac18fbd7cc
569000.0,10537.0,60246912,4,3,,54.0,wtorny,Wrocław,https://www.otodom.pl/oferta/rentowny-gotowiec-inwestycyjny-roi10-wroclaw-ID44MYo.html#ac18fbd7cc
649987.0,7097.0,59605424,4,3,2.0,91.58,wtorny,Krzyki,https://www.otodom.pl/oferta/pora-na-wypoczynek-przy-kominku-ID4265O.html#ac18fbd7cc
365000.0,7157.0,60476828,4,3,3.0,51.0,wtorny,Psie Pole,https://www.otodom.pl/oferta/funkcjonalne-3-pokoje-inflancka-do-zamieszkania-ID45KMI.html#ac18fbd7cc
264375.0,7050.0,60162081,,2,,37.5,pierwotny,Fabryczna,https://www.otodom.pl/oferta/2-pokoje-z-ogrodkiem-komorka-lok-gratis-ID44qU9.html#ac18fbd7cc
649000.0,7750.0,60532781,4,4,,83.74,pierwotny,Krzyki,https://www.otodom.pl/oferta/najpopularniejsza-inwestycja-ostatnie-ID45Zlb.html#ac18fbd7cc
