Cena,Cena_za_metr,Id,Liczba pięter,Liczba pokoi,Piętro,Powierzchnia,URL
330000.0,9429.0,60418802,3,1,1.0,35.0,https://www.otodom.pl/oferta/gotowe-i-urzadzone-mieszkanie-na-wojszycach-z-2019-ID45wGO.html#ac18fbd7cc
385000.0,7143.0,60451687,10,3,9.0,53.9,https://www.otodom.pl/oferta/rozkladowe-z-pieknym-widokiem-ID45Efd.html#ac18fbd7cc
429000.0,7271.0,60420108,2,3,1.0,59.0,https://www.otodom.pl/oferta/lesnica-idealna-lokalizacja-dla-rodziny-eng-ID45v1S.html#ac18fbd7cc
699800.0,9111.0,60402260,7,3,5.0,76.81,https://www.otodom.pl/oferta/super-lokalizacja-6-przystankow-od-rynku-eng-ID45ro0.html#ac18fbd7cc
370000.0,8173.0,60458524,3,2,2.0,45.27,https://www.otodom.pl/oferta/atrakcyjna-cena-2-pokoje-na-muchoborze-wielkim-ID45G1u.html#ac18fbd7cc
550000.0,11416.0,60414922,12,2,10.0,48.18,https://www.otodom.pl/oferta/5-minut-do-centrum-tuz-obok-rzeki-ID45uGe.html#ac18fbd7cc
330000.0,7021.0,60475836,4,2,Brak danych,47.0,https://www.otodom.pl/oferta/mieszkanie-w-zielonej-i-cichej-okolicy-ID45KvI.html#dc1fb78b20
639000.0,8863.0,60387346,9,3,6.0,72.1,https://www.otodom.pl/oferta/mieszkanie-obok-magnolii-i-centrum-business-garden-ID45nws.html#dc1fb78b20
303000.0,7769.0,60475887,3,2,Brak danych,39.0,https://www.otodom.pl/oferta/nowe-osiedle-park-grabiszynski-doskonale-na-start-ID45Kxx.html#ac18fbd7cc
680000.0,13998.0,60435532,8,2,8.0,48.58,https://www.otodom.pl/oferta/okazja-piekny-apartament-na-belvedere-park-eng-ID45A2E.html#ac18fbd7cc
273070.0,7000.0,59272118,2,2,Brak danych,39.01,https://www.otodom.pl/oferta/mieszkanie-z-duzym-ogrodem-zielone-miasto-ID40HnU.html#dc1fb78b20
888000.0,8621.0,60406070,4,4,3.0,103.0,https://www.otodom.pl/oferta/dla-osob-kochajacych-centrum-wroclawia-ID45sns.html#dc1fb78b20
890000.0,11711.0,60452156,6,3,6.0,76.0,https://www.otodom.pl/oferta/kepa-mieszczanska-3-pok-apartment-for-sale-ID45EmM.html#ac18fbd7cc
429000.0,11917.0,60414480,5,1,1.0,36.0,https://www.otodom.pl/oferta/kawalerka-36m2-w-odnowionej-kamienicy-ul-lwowska-ID45uz6.html#dc1fb78b20
529200.0,7350.0,60475810,2,3,Brak danych,72.0,https://www.otodom.pl/oferta/fabryczna-taras-trzypokojowe-ID45Kvi.html#dc1fb78b20
497000.0,12425.0,60475798,7,2,4.0,40.0,https://www.otodom.pl/oferta/przedmiescie-olawskie-40m2-2-pokoi-super-oferta-ID45Kv6.html#dc1fb78b20
385000.0,5932.0,60475800,8,3,5.0,64.9,https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-do-remontu-2-balkony-ID45Kv8.html#dc1fb78b20
380000.0,7917.0,60312024,Brak danych,2,2.0,48.0,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-48-m2-z-garazem-milostowska-ID453UA.html#dc1fb78b20
325000.0,7927.0,60475784,7,2,Brak danych,41.0,https://www.otodom.pl/oferta/kozanow-dwupokojowe-po-remoncie-ID45KwS.html#dc1fb78b20
265495.0,7250.0,60475797,2,2,Brak danych,36.62,https://www.otodom.pl/oferta/okazja-kawalerka-37m2-z-ogrodkiem-i-tarasem-39m2-ID45Kv5.html#dc1fb78b20
370000.0,8810.0,60475748,7,2,3.0,42.0,https://www.otodom.pl/oferta/2-pokoje-pod-klucz-ID45Kwi.html#dc1fb78b20
540000.0,7606.0,60475669,Brak danych,3,1.0,71.0,https://www.otodom.pl/oferta/okolice-czytankowej-balkon-schowek-cicho-ID45Ku1.html#dc1fb78b20
430000.0,7288.0,60441281,2,3,1.0,59.0,https://www.otodom.pl/oferta/sprzedam-3-pok-mieszkanie-we-wroclawiu-maslice-ID45Bxn.html#dc1fb78b20
339000.0,9417.0,60475806,5,2,Brak danych,36.0,https://www.otodom.pl/oferta/fabryczna-taras-ogrodek-2019-ID45Kve.html#dc1fb78b20
503700.0,7300.0,60475660,2,3,1.0,69.0,https://www.otodom.pl/oferta/zerniki-mieszkanie-3-pokoje-garaz-i-2-balkony-ID45KtS.html#dc1fb78b20
